gen,nevals,avg,std,min,max
0,1000,-23.853,[8.17761524],[-51.],[4.]
1,1000,-14.931,[6.38672365],[-33.],[4.]
2,1000,-8.638,[5.41709849],[-23.],[11.]
3,1000,-2.98,[4.88503838],[-15.],[14.]
4,1000,1.468,[4.38052234],[-10.],[17.]
5,1000,5.409,[3.77858691],[-4.],[18.]
6,1000,8.611,[3.63588765],[-6.],[27.]
7,1000,11.388,[3.12944979],[1.],[27.]
8,1000,13.844,[3.12436618],[2.],[27.]
9,1000,16.384,[3.16457643],[7.],[27.]
10,1000,18.709,[3.34728532],[6.],[31.]
11,1000,21.268,[3.65707205],[9.],[33.]
12,1000,23.938,[3.55698693],[12.],[33.]
13,1000,26.519,[3.15620643],[9.],[33.]
14,1000,28.369,[2.8859728],[12.],[36.]
15,1000,30.186,[2.83538428],[14.],[39.]
16,1000,32.013,[2.8987637],[12.],[41.]
17,1000,33.791,[2.6771849],[13.],[42.]
18,1000,35.749,[2.83866148],[22.],[42.]
19,1000,38.148,[2.21361605],[31.],[42.]
20,1000,39.636,[1.65514471],[25.],[44.]
21,1000,40.769,[1.25842719],[31.],[44.]
22,1000,41.523,[1.40123909],[28.],[44.]
23,1000,42.233,[1.60396727],[23.],[44.]
24,1000,43.118,[1.74013678],[25.],[47.]
25,1000,43.581,[1.80705257],[25.],[47.]
26,1000,43.977,[0.81022898],[31.],[47.]
27,1000,44.084,[0.97925686],[30.],[47.]
28,1000,44.277,[1.05559036],[28.],[47.]
29,1000,44.553,[1.73585454],[25.],[47.]
30,1000,45.281,[1.7555737],[28.],[47.]
31,1000,46.184,[1.81992967],[28.],[47.]
32,1000,46.86,[1.18591737],[25.],[47.]
33,1000,46.983,[0.74880638],[31.],[50.]
34,1000,47.027,[0.80763296],[28.],[50.]
35,1000,47.156,[0.9495599],[28.],[50.]
36,1000,47.498,[1.12427577],[44.],[50.]
37,1000,48.138,[1.62202219],[31.],[50.]
38,1000,49.263,[1.44907936],[31.],[50.]
39,1000,49.885,[0.797355],[31.],[50.]
40,1000,49.983,[0.5465446],[34.],[55.]
41,1000,49.981,[0.98114168],[23.],[55.]
42,1000,50.032,[0.61235284],[41.],[55.]
43,1000,50.082,[0.65366352],[47.],[55.]
44,1000,50.199,[0.97128729],[50.],[55.]
45,1000,50.567,[1.66598649],[39.],[55.]
46,1000,51.249,[2.39520333],[28.],[55.]
47,1000,52.375,[2.64922158],[34.],[55.]
48,1000,53.913,[2.36250524],[28.],[55.]
49,1000,54.832,[1.01969407],[44.],[55.]
50,1000,54.981,[0.36964713],[47.],[55.]
